"","cv.fall","lo.fall","hi.fall","cv.spring","lo.spring","hi.spring"
"1",0.36,0.17,0.79,0.27,0.12,0.39
"2",0.31,0.16,0.64,0.26,0.13,0.39
"3",0.3,0.14,0.53,0.32,0.19,0.66
"4",0.32,0.13,0.51,0.27,0.1,0.3
"5",0.3,0.16,0.59,0.36,0.11,0.5
"6",0.38,0.19,0.88,0.33,0.11,0.46
"7",0.38,0.23,1.18,0.3,0.1,0.36
"8",0.31,0.11,0.45,0.3,0.13,0.49
"9",0.31,0.19,0.73,0.4,0.12,0.66
"10",0.38,0.22,1.11,0.36,0.11,0.49
"11",0.4,0.14,0.71,0.29,0.15,0.54
