"","fall","spring"
"2009",1.02,1
"2010",1.02,1
"2011",1.04,1
"2012",1.04,1.01
"2013",1.01,1
"2014",1.03,1.01
"2015",1.03,1
"2016",1.03,1
"2017",1.07,1.01
"2018",1.03,1
"2019",1.03,1.01
