"","cv.fall","lo.fall","hi.fall","cv.spring","lo.spring","hi.spring"
"1",0.17,0.21,0.41,0.14,0.21,0.36
"2",0.15,0.2,0.37,0.31,0.17,0.43
"3",0.13,0.27,0.45,0.11,0.25,0.39
"4",0.09,0.31,0.45,0.12,0.24,0.38
"5",0.06,0.38,0.48,0.09,0.31,0.44
"6",0.25,0.19,0.44,0.16,0.17,0.31
"7",0.15,0.2,0.37,0.12,0.23,0.38
"8",0.17,0.2,0.39,0.26,0.15,0.39
"9",0.16,0.22,0.42,0.12,0.25,0.4
"10",0.16,0.16,0.29,0.17,0.17,0.32
"11",0.24,0.2,0.45,0.15,0.19,0.35
