"","fall","spring"
"2009",1,0.99
"2010",1.1,0.98
"2011",1.02,0.99
"2012",0.99,0.99
"2013",1.02,1.01
"2014",1.01,0.99
"2015",0.98,1.04
"2016",0.99,1
"2017",1,1
"2018",1,0.96
"2019",1.01,1.03
