"","fall","spring"
"2009",17046,6950
"2010",9054,18508
"2011",7592,9346
"2012",7419,6785
"2013",15456,5763
"2014",11727,4782
"2015",10495,6024
"2016",8497,3252
"2017",4378,8295
"2018",9441,2793
"2019",11510,4584
