"","cv.fall","lo.fall","hi.fall","cv.spring","lo.spring","hi.spring"
"1",0.08,0.25,0.34,0.08,0.25,0.34
"2",0.08,0.32,0.44,0.07,0.27,0.36
"3",0.1,0.24,0.34,0.08,0.27,0.36
"4",0.09,0.28,0.4,0.07,0.28,0.37
"5",0.09,0.26,0.37,0.07,0.29,0.39
"6",0.08,0.32,0.43,0.08,0.28,0.39
"7",0.1,0.26,0.37,0.09,0.25,0.35
"8",0.11,0.25,0.4,0.09,0.29,0.42
"9",NA,NA,NA,0.1,0.25,0.37
"10",0.11,0.21,0.31,0.13,0.21,0.36
"11",0.13,0.17,0.28,0.14,0.2,0.35
