"","cv.fall","lo.fall","hi.fall","cv.spring","lo.spring","hi.spring"
"1",0.15,0.28,0.51,0.23,0.15,0.38
"2",0.21,0.17,0.36,0.17,0.18,0.36
"3",0.18,0.18,0.37,0.23,0.12,0.3
"4",0.19,0.2,0.42,0.17,0.14,0.27
"5",0.19,0.21,0.48,0.21,0.17,0.37
"6",0.17,0.17,0.35,0.22,0.13,0.31
"7",0.21,0.18,0.43,0.19,0.16,0.34
"8",0.19,0.19,0.41,0.17,0.15,0.31
"9",0.23,0.16,0.39,0.21,0.15,0.34
"10",0.25,0.13,0.34,0.18,0.12,0.24
"11",0.22,0.15,0.37,0.18,0.11,0.22
