"","fall","spring"
"2009",0.77,0.69
"2010",0.66,0.73
"2011",0.87,0.74
"2012",0.94,0.87
"2013",0.79,0.8
"2014",0.83,0.68
"2015",0.9,0.72
"2016",0.77,0.65
"2017",0.61,0.82
"2018",0.85,0.76
"2019",0.75,0.8
