"","fall","spring"
"2009",0.35,0.27
"2010",0.29,0.31
"2011",0.34,0.31
"2012",0.27,0.32
"2013",0.34,0.29
"2014",0.27,0.28
"2015",0.27,0.26
"2016",0.29,0.29
"2017",0.28,0.29
"2018",0.27,0.26
"2019",0.26,0.27
