"","fall","spring"
"2009",0.47,0.27
"2010",0.41,0.28
"2011",0.35,0.45
"2012",0.33,0.21
"2013",0.4,0.3
"2014",0.52,0.28
"2015",0.69,0.23
"2016",0.29,0.33
"2017",0.48,0.36
"2018",0.68,0.28
"2019",0.38,0.37
