"","fall","spring"
"2009",30869,32744
"2010",47066,48842
"2011",57460,59099
"2012",57121,48231
"2013",45160,41083
"2014",58799,46071
"2015",81506,53619
"2016",110272,56529
"2017",113400,83751
"2018",156003,113637
"2019",102523,88846
