"","cv.fall","lo.fall","hi.fall","cv.spring","lo.spring","hi.spring"
"1",0.06,0.56,0.71,0.09,0.42,0.61
"2",0.06,0.52,0.67,0.07,0.48,0.63
"3",0.07,0.49,0.64,0.06,0.48,0.62
"4",0.13,0.41,0.7,0.05,0.56,0.69
"5",0.07,0.5,0.66,0.07,0.45,0.6
"6",0.07,0.5,0.66,0.07,0.46,0.61
"7",0.07,0.46,0.61,0.09,0.42,0.58
"8",0.21,0.26,0.68,0.07,0.48,0.63
"9",NA,NA,NA,0.07,0.49,0.64
"10",0.36,0.13,0.66,0.08,0.43,0.59
"11",0.11,0.42,0.66,0.07,0.45,0.6
