"","cv.fall","lo.fall","hi.fall","cv.spring","lo.spring","hi.spring"
"2009",0.24,0.47,1.17,0.18,0.35,0.71
"2010",0.24,0.31,0.73,0.17,0.37,0.72
"2011",0.25,0.21,0.59,0.19,0.38,0.78
"2012",0.23,0.26,0.6,0.18,0.36,0.74
"2013",0.2,0.35,0.72,0.21,0.27,0.61
"2014",0.18,0.38,0.73,0.18,0.24,0.51
"2015",0.19,0.37,0.74,0.17,0.26,0.51
"2016",0.2,0.34,0.74,0.17,0.29,0.56
"2017",0.19,0.37,0.74,0.17,0.28,0.55
"2018",0.2,0.41,0.86,0.27,0.37,1.08
"2019",0.22,0.42,0.96,0.19,0.36,0.74
