"","fall","spring"
"2009",0.64,0.52
"2010",0.59,0.55
"2011",0.56,0.55
"2012",0.61,0.63
"2013",0.58,0.53
"2014",0.59,0.53
"2015",0.54,0.5
"2016",0.56,0.56
"2017",0.73,0.57
"2018",0.46,0.52
"2019",0.58,0.53
