"","fall","spring"
"2009",0.76,0.51
"2010",0.47,0.54
"2011",0.37,0.55
"2012",0.42,0.54
"2013",0.51,0.44
"2014",0.54,0.37
"2015",0.53,0.39
"2016",0.52,0.41
"2017",0.53,0.41
"2018",0.6,0.66
"2019",0.64,0.53
