"","cv.fall","lo.fall","hi.fall","cv.spring","lo.spring","hi.spring"
"1",0.06,0.42,0.52,0.11,0.31,0.51
"2",0.07,0.39,0.52,0.07,0.35,0.47
"3",0.05,0.37,0.45,0.06,0.4,0.5
"4",0.06,0.39,0.5,0.05,0.41,0.5
"5",0.05,0.41,0.51,0.06,0.42,0.52
"6",0.06,0.38,0.48,0.08,0.37,0.5
"7",0.07,0.25,0.33,0.14,0.27,0.5
"8",0.06,0.32,0.4,0.06,0.31,0.39
"9",0.06,0.43,0.55,0.06,0.38,0.48
"10",0.05,0.38,0.46,0.06,0.4,0.51
"11",0.06,0.39,0.48,0.08,0.35,0.48
