"","cv.fall","lo.fall","hi.fall","cv.spring","lo.spring","hi.spring"
"1",0.12,0.62,0.96,0.08,0.58,0.8
"2",0.09,0.57,0.81,0.1,0.58,0.86
"3",0.08,0.73,1,0.09,0.59,0.84
"4",0.1,0.75,1.09,0.09,0.69,1
"5",0.11,0.62,0.97,0.09,0.65,0.93
"6",0.1,0.69,1.01,0.09,0.55,0.78
"7",0.13,0.61,1.05,0.2,0.34,0.87
"8",0.11,0.62,0.94,0.09,0.55,0.76
"9",0.24,0.52,1.03,0.09,0.65,0.94
"10",0.1,0.65,0.98,0.11,0.61,0.94
"11",0.1,0.61,0.9,0.09,0.65,0.94
