"","fall","spring"
"2009",1,1
"2010",0.99,1
"2011",1.01,0.98
"2012",1.01,1.01
"2013",1.02,0.98
"2014",1.01,1.01
"2015",1.02,1.02
"2016",0.99,1.02
"2017",1.03,1.04
"2018",1.02,1.05
"2019",1,1.02
