"","fall","spring"
"2009",0.95,0.68
"2010",0.69,0.7
"2011",0.76,0.67
"2012",0.83,0.8
"2013",0.9,0.67
"2014",0.76,0.64
"2015",0.79,0.76
"2016",0.77,0.7
"2017",0.68,0.76
"2018",0.78,0.64
"2019",0.84,0.78
