"","spring","fall"
"2009",19177.0383790198,24566.3727820346
"2010",30968.5029573129,22469.0898642857
"2011",22509.2140006803,30306.6127261905
"2012",19618.3476962018,25543.4080598073
"2013",15862.7369880385,35426.6764591837
"2014",34731.6736268708,56739.0113807256
"2015",71379.9482482993,69812.2857110544
"2016",52318.7559948979,55526.2786556123
"2017",52276.6495361111,58571.9132420635
"2018",59041.6288095238,57927.7118588688
"2019",33654.2921573129,51078.1908904762
