"","fall","spring"
"2009",0.99,1
"2010",1.02,0.98
"2011",1.02,0.97
"2012",1.04,0.99
"2013",0.98,0.98
"2014",1.03,0.98
"2015",1,0.99
"2016",1.02,1.02
"2017",1,0.96
"2018",1.02,1.03
"2019",1.01,0.98
