"","cv.fall","lo.fall","hi.fall","cv.spring","lo.spring","hi.spring"
"1",0.09,0.24,0.34,0.07,0.21,0.28
"2",0.08,0.21,0.29,0.08,0.22,0.3
"3",0.09,0.21,0.3,0.07,0.22,0.29
"4",0.08,0.21,0.28,0.07,0.22,0.29
"5",0.08,0.24,0.32,0.07,0.21,0.27
"6",0.07,0.23,0.3,0.07,0.2,0.26
"7",0.08,0.22,0.3,0.07,0.2,0.26
"8",0.08,0.21,0.28,0.07,0.2,0.27
"9",0.08,0.25,0.34,0.08,0.2,0.27
"10",0.08,0.22,0.3,0.08,0.21,0.29
"11",0.08,0.24,0.33,0.07,0.19,0.24
