"","fall","spring"
"2009",1.01,1
"2010",1.01,1.01
"2011",1.02,1
"2012",1.03,1.02
"2013",1.02,1.02
"2014",1.02,1.02
"2015",1.03,1.02
"2016",1.02,1.01
"2017",1.02,1.02
"2018",1.03,1.01
"2019",1.01,1.02
