"","fall","spring"
"2009",1.08,0.99
"2010",1.01,0.95
"2011",1,1.01
"2012",1.01,1
"2013",1.01,1
"2014",1,1
"2015",1.01,1.01
"2016",1,0.99
"2017",1.02,1
"2018",1,0.99
"2019",0.99,1
