"","cv.fall","lo.fall","hi.fall","cv.spring","lo.spring","hi.spring"
"2009",1.4,0.36,1.02,1.44,0.36,1.04
"2010",1.42,0.37,1.02,1.46,0.35,1.04
"2011",1.59,0.35,1.09,1.49,0.37,1.07
"2012",1.53,0.32,1.08,1.55,0.35,1.08
"2013",1.49,0.3,1.07,1.55,0.36,1.1
"2014",1.49,0.34,1.04,1.47,0.36,1.07
"2015",1.47,0.36,1.05,1.52,0.36,1.09
"2016",1.61,0.31,1.15,1.54,0.35,1.09
"2017",1.67,0.36,1.14,1.61,0.33,1.11
"2018",1.7,0.36,1.15,1.77,0.35,1.26
"2019",1.59,0.35,1.13,1.68,0.35,1.17
