"","fall","spring"
"2009",0.99,0.99
"2010",1,0.97
"2011",1.03,0.98
"2012",1,1.01
"2013",1,0.99
"2014",1.04,0.99
"2015",1.02,1
"2016",1.01,1
"2017",NA,0.97
"2018",1.03,1.05
"2019",1.02,1.02
