"","fall","spring"
"2009",9623,8410
"2010",12665,13304
"2011",10391,10047
"2012",13859,10247
"2013",7784,10249
"2014",8117,11637
"2015",8395,14315
"2016",11057,7698
"2017",NA,9323
"2018",7669,8304
"2019",6901,6728
