"","cv.fall","lo.fall","hi.fall","cv.spring","lo.spring","hi.spring"
"1",0.29,0.27,0.97,0.22,0.32,0.89
"2",0.17,0.47,0.92,0.23,0.31,0.85
"3",0.17,0.52,1.01,0.14,0.52,0.89
"4",0.18,0.45,0.92,0.28,0.27,1
"5",0.32,0.3,1.12,0.21,0.4,0.97
"6",0.33,0.23,0.97,0.24,0.39,1.02
"7",0.21,0.46,1.02,0.3,0.29,1
"8",0.3,0.26,0.94,0.39,0.19,1.04
"9",0.41,0.15,1.01,0.33,0.26,1.08
"10",0.48,0.16,1.16,0.25,0.4,1.06
"11",0.29,0.24,1.07,0.36,0.22,1.04
