"","fall","spring"
"2009",6534,13530
"2010",44506,15731
"2011",9660,13463
"2012",17680,13764
"2013",5822,10749
"2014",1416,8927
"2015",497,3388
"2016",1610,1755
"2017",NA,624
"2018",342,994
"2019",429,530
