"","fall","spring"
"2009",0.29,0.29
"2010",0.37,0.31
"2011",0.29,0.31
"2012",0.34,0.32
"2013",0.32,0.33
"2014",0.37,0.33
"2015",0.31,0.3
"2016",0.34,0.36
"2017",NA,0.31
"2018",0.25,0.28
"2019",0.22,0.28
