"","fall","spring"
"2009",23444,20236
"2010",13953,21857
"2011",17272,10643
"2012",9092,19790
"2013",11357,32266
"2014",7525,19853
"2015",19851,8267
"2016",20161,24480
"2017",6764,72921
"2018",9610,16807
"2019",9023,35370
