"","fall","spring"
"2009",1,0.99
"2010",1.01,0.99
"2011",1,1
"2012",1.01,1.02
"2013",1.02,1.03
"2014",1.01,1.01
"2015",1.01,1.02
"2016",1,1
"2017",1.02,1
"2018",1.01,1.01
"2019",1,1.01
