"","fall","spring"
"2009",0.99,1
"2010",1,1.03
"2011",0.99,1
"2012",1.01,1.04
"2013",1.02,1.01
"2014",0.99,0.98
"2015",0.99,1.04
"2016",1.01,1.01
"2017",1.03,1.02
"2018",1.01,1.02
"2019",1.02,1.02
