"","fall","spring"
"2009",0.39,0.25
"2010",0.25,0.26
"2011",0.26,0.18
"2012",0.29,0.19
"2013",0.34,0.25
"2014",0.25,0.2
"2015",0.27,0.24
"2016",0.29,0.22
"2017",0.25,0.22
"2018",0.19,0.17
"2019",0.23,0.15
